"Time","nacosdb-mysql-0","nacosdb-mysql-1","nacosdb-mysql-2","tsdb-mysql-0","tsdb-mysql-1","tsdb-mysql-2","ts-admin-basic-info-service-d8d4b4ff9-s7zth","ts-admin-order-service-787856598f-fl56n","ts-admin-route-service-5d486755c-mxt4j","ts-admin-travel-service-7d4d447494-lz7vv","ts-admin-user-service-c544d7b74-xj8pn","ts-assurance-service-569ffd759f-nzddv","ts-auth-service-5cd94cf4c9-pr4sc","ts-avatar-service-ff8977c96-z6h7t","ts-basic-service-c57455994-5rf52","ts-cancel-service-55b6778574-7zfnb","ts-config-service-55f74d8b79-mt2ln","ts-consign-price-service-764c676495-rblv4","ts-consign-service-69fdbff744-t4nnm","ts-contacts-service-69864b9cd7-j7kng","ts-delivery-service-857d89f589-nrpbf","ts-execute-service-667756b4bf-vrl4r","ts-food-delivery-service-85c449576c-7jtrf","ts-food-service-85b5445f7-69dvs","ts-gateway-service-8585c745cd-mn5vn","ts-inside-payment-service-7f87878d9f-mqp8l","ts-news-service-7665fdf4c-hlrml","ts-notification-service-66777dd945-g9l6f","ts-order-other-service-6666b4d4d-x6l64","ts-order-service-69885cc6c8-4mcjr","ts-payment-service-7fc4c49d89-7zrgj","ts-preserve-other-service-5b9bbf9cf-hjzpg","ts-preserve-service-56dfc8d6d-vnlpb","ts-price-service-55c8646c4c-hjw4b","ts-rebook-service-79586f4dbc-lh6w9","ts-route-plan-service-6594877d59-qrh8f","ts-route-service-6f5855dc47-7ht8z","ts-seat-service-54f7bb8465-rzgwd","ts-security-service-7fd5f9ff9c-k4nxj","ts-station-food-service-bbffbd779-qbpwz","ts-station-service-798774f5d-dpsf5","ts-ticket-office-service-9979b76f9-ztj64","ts-train-food-service-f544897f-jd76n","ts-train-service-c7fc88877-mm8n9","ts-travel-plan-service-57865655f6-vklhv","ts-travel-service-699599cdf5-mffdb","ts-travel2-service-5db558f8d9-4tk7g","ts-ui-dashboard-7b5d44c888-gqlfj","ts-user-service-77988d68d8-kp6gg","ts-verification-code-service-58d4c7b777-p96jk","ts-voucher-service-7545b4fb7c-v46q2","ts-wait-order-service-6f7f78bb5d-8f78g","nacosdb-mysql-0","nacosdb-mysql-1","nacosdb-mysql-2","tsdb-mysql-0","tsdb-mysql-1","tsdb-mysql-2"
2024-01-02 14:15:10,1.3%,1.3%,1.2%,4.1%,1.5%,1.6%,0.3%,0.2%,0.2%,0.2%,7.9%,18.3%,99.8%,0.0%,0.3%,0.2%,0.2%,0.2%,0.2%,12.7%,0.2%,0.3%,0.2%,9.1%,29.1%,0.2%,0.0%,0.3%,3.6%,8.0%,0.2%,0.2%,10.2%,0.2%,0.2%,0.2%,5.1%,0.2%,22.7%,4.0%,0.2%,0.0%,4.0%,0.3%,0.2%,28.8%,0.3%,2.4%,5.4%,0.3%,0.0%,0.2%,4.4%,4.2%,4.0%,4.4%,3.3%,3.4%
2024-01-02 14:15:15,1.3%,1.2%,1.2%,4.0%,1.4%,1.5%,0.3%,0.2%,0.2%,0.2%,7.9%,18.3%,99.7%,0.0%,0.3%,0.2%,0.2%,0.2%,0.2%,14.3%,0.2%,0.3%,0.2%,8.5%,25.8%,0.2%,0.0%,0.3%,3.2%,7.6%,0.2%,0.2%,10.2%,0.2%,0.2%,0.2%,4.8%,0.2%,22.7%,4.3%,0.2%,0.0%,3.7%,0.2%,0.2%,27.9%,0.3%,2.4%,5.2%,0.3%,0.0%,0.2%,3.9%,4.3%,3.7%,4.3%,3.4%,3.7%
2024-01-02 14:15:20,1.3%,1.3%,1.3%,4.0%,1.4%,1.5%,0.2%,0.2%,0.2%,0.2%,7.8%,17.9%,99.9%,0.0%,0.2%,0.2%,0.2%,0.2%,0.2%,13.9%,0.2%,0.3%,0.2%,7.5%,23.9%,0.2%,0.0%,0.3%,3.4%,7.7%,0.2%,0.2%,10.3%,0.2%,0.2%,0.2%,4.6%,0.2%,23.2%,4.1%,0.2%,0.0%,3.8%,0.3%,0.2%,27.7%,0.3%,2.4%,5.3%,0.3%,0.0%,0.2%,4.5%,4.8%,3.8%,4.3%,3.4%,3.5%
2024-01-02 14:15:25,1.3%,1.2%,1.3%,4.1%,1.5%,1.5%,0.2%,0.2%,0.2%,0.2%,7.7%,17.8%,99.8%,0.0%,0.2%,0.2%,0.2%,0.2%,0.2%,14.0%,0.2%,0.3%,0.2%,8.7%,18.4%,0.2%,0.0%,0.2%,3.5%,7.5%,0.2%,0.2%,10.0%,0.2%,0.2%,0.2%,4.1%,0.2%,24.1%,4.1%,0.2%,0.0%,3.8%,0.3%,0.2%,24.7%,0.3%,2.4%,5.1%,0.3%,0.0%,0.2%,4.2%,4.8%,4.1%,4.3%,3.8%,3.7%
2024-01-02 14:15:30,1.3%,1.4%,1.3%,3.9%,1.4%,1.5%,0.2%,0.2%,0.2%,0.2%,7.5%,17.3%,99.8%,0.0%,0.2%,0.2%,0.2%,0.2%,0.2%,13.6%,0.2%,0.3%,0.2%,8.3%,18.2%,0.2%,0.0%,0.2%,3.3%,6.7%,0.2%,0.2%,9.3%,0.2%,0.2%,0.2%,4.1%,0.2%,17.4%,4.0%,0.2%,0.0%,3.7%,0.3%,0.2%,22.5%,0.2%,2.4%,5.0%,0.3%,0.0%,0.2%,4.5%,4.5%,4.3%,4.4%,3.4%,3.9%
2024-01-02 14:15:35,1.3%,1.3%,1.2%,3.9%,1.5%,1.5%,0.2%,0.2%,0.2%,0.2%,8.4%,17.2%,99.8%,0.0%,0.2%,0.2%,0.2%,0.3%,0.2%,12.8%,0.2%,0.3%,0.2%,7.9%,18.9%,0.2%,0.0%,0.2%,3.3%,6.6%,0.2%,0.2%,7.1%,0.2%,0.2%,0.2%,3.8%,0.2%,9.5%,3.8%,0.2%,0.0%,3.5%,0.2%,0.2%,21.9%,0.2%,2.4%,6.4%,0.3%,0.0%,0.2%,4.1%,4.4%,3.7%,4.1%,3.4%,3.5%
2024-01-02 14:15:40,1.4%,1.4%,1.3%,4.0%,1.5%,1.5%,0.2%,0.2%,0.2%,0.2%,5.7%,13.0%,99.8%,0.0%,0.2%,0.2%,0.2%,0.3%,0.2%,12.4%,0.2%,0.3%,0.3%,8.0%,20.8%,0.3%,0.0%,0.2%,3.5%,6.4%,0.2%,0.2%,7.2%,0.2%,0.2%,0.2%,4.0%,0.2%,7.8%,2.9%,0.2%,0.0%,4.5%,0.3%,0.2%,22.1%,0.3%,2.4%,7.7%,0.3%,0.0%,0.2%,4.5%,4.9%,3.7%,4.1%,3.7%,3.7%
2024-01-02 14:15:45,1.4%,1.3%,1.2%,4.0%,1.5%,1.5%,0.2%,0.2%,0.2%,0.2%,5.6%,4.1%,99.9%,0.0%,0.2%,0.2%,0.2%,0.3%,0.2%,11.9%,0.2%,0.3%,0.3%,6.7%,21.0%,0.3%,0.0%,0.3%,3.3%,7.1%,0.2%,0.2%,9.0%,0.2%,0.2%,0.2%,4.2%,0.2%,6.8%,2.7%,0.2%,0.0%,4.6%,0.3%,0.2%,22.0%,0.3%,2.4%,7.7%,0.3%,0.0%,0.2%,4.1%,4.5%,3.7%,4.4%,3.7%,3.4%
2024-01-02 14:15:50,1.4%,1.4%,1.2%,4.0%,1.5%,1.5%,0.2%,0.2%,0.2%,0.2%,4.6%,3.7%,99.8%,0.0%,0.3%,0.2%,0.2%,0.3%,0.2%,8.3%,0.2%,0.2%,0.3%,6.9%,21.3%,0.3%,0.0%,0.3%,3.3%,7.2%,0.2%,0.2%,9.0%,0.2%,0.2%,0.2%,3.9%,0.2%,6.8%,2.7%,0.2%,0.0%,4.6%,0.3%,0.2%,20.5%,0.3%,2.5%,7.4%,0.3%,0.0%,0.2%,4.5%,5.1%,4.1%,4.3%,3.9%,3.7%
2024-01-02 14:15:55,1.3%,1.3%,1.3%,4.0%,1.5%,1.5%,0.2%,0.2%,0.2%,0.2%,4.7%,3.7%,99.8%,0.0%,0.2%,0.2%,0.2%,0.3%,0.2%,8.0%,0.3%,0.3%,0.3%,6.2%,21.2%,0.2%,0.0%,0.2%,3.3%,6.5%,0.2%,0.2%,8.9%,0.2%,0.3%,0.2%,3.9%,0.2%,6.7%,2.8%,0.2%,0.0%,4.3%,0.2%,0.2%,15.8%,0.3%,2.4%,7.1%,0.3%,0.0%,0.2%,4.2%,5.1%,4.0%,4.3%,3.6%,3.8%
2024-01-02 14:16:00,1.3%,1.4%,1.3%,4.0%,1.5%,1.5%,0.2%,0.2%,0.2%,0.2%,4.3%,2.9%,99.8%,0.0%,0.3%,0.3%,0.2%,0.3%,0.2%,7.6%,0.3%,0.3%,0.3%,5.9%,21.4%,0.2%,0.0%,0.3%,3.0%,6.8%,0.2%,0.3%,8.3%,0.2%,0.3%,0.2%,3.6%,0.2%,6.0%,2.6%,0.2%,0.0%,4.0%,0.2%,0.2%,12.3%,0.3%,2.4%,6.9%,0.3%,0.0%,0.2%,4.7%,5.2%,4.2%,4.6%,3.9%,3.8%
2024-01-02 14:16:05,1.4%,1.3%,1.3%,3.9%,1.5%,1.4%,0.2%,0.2%,0.2%,0.2%,4.1%,2.4%,100.0%,0.0%,0.3%,0.3%,0.2%,0.3%,0.3%,7.4%,0.3%,0.3%,0.3%,5.9%,21.1%,0.2%,0.0%,0.2%,3.0%,6.2%,0.2%,0.3%,7.1%,0.2%,0.3%,0.2%,3.3%,0.2%,6.1%,2.6%,0.2%,0.0%,3.9%,0.2%,0.2%,12.6%,0.3%,2.4%,6.7%,0.3%,0.0%,0.2%,4.2%,5.2%,4.0%,4.3%,3.8%,4.0%
2024-01-02 14:16:10,1.5%,1.4%,1.3%,3.9%,1.6%,1.4%,0.3%,0.2%,0.2%,0.2%,4.2%,2.2%,99.9%,0.0%,0.2%,0.3%,0.2%,0.3%,0.2%,5.7%,0.3%,0.2%,0.3%,5.7%,21.2%,0.2%,0.0%,0.2%,3.6%,6.1%,0.3%,0.3%,6.8%,0.2%,0.3%,0.2%,3.4%,0.2%,6.1%,2.2%,0.2%,0.0%,3.7%,0.3%,0.2%,12.7%,0.3%,2.4%,6.8%,0.3%,0.0%,0.3%,4.3%,5.2%,4.1%,4.5%,3.7%,4.0%
2024-01-02 14:16:15,1.4%,1.4%,1.2%,4.0%,1.6%,1.5%,0.3%,0.2%,0.2%,0.2%,4.1%,2.1%,99.9%,0.0%,0.3%,0.3%,0.2%,0.4%,0.2%,5.9%,0.3%,0.2%,0.3%,5.9%,23.3%,0.2%,0.0%,0.3%,3.6%,6.0%,0.3%,0.3%,6.6%,0.3%,0.3%,0.2%,3.5%,0.2%,4.9%,2.3%,0.2%,0.0%,3.5%,0.3%,0.2%,12.7%,0.3%,2.4%,6.8%,0.3%,0.0%,0.2%,4.1%,4.6%,4.1%,4.4%,3.8%,3.9%
2024-01-02 14:16:20,1.5%,1.4%,1.3%,3.9%,1.5%,1.5%,0.3%,0.2%,0.2%,0.2%,4.5%,2.0%,99.8%,0.0%,0.3%,0.3%,0.2%,0.4%,0.2%,5.9%,0.3%,0.2%,0.3%,4.4%,23.6%,0.2%,0.0%,0.3%,3.2%,5.9%,0.3%,0.3%,6.9%,0.3%,0.3%,0.3%,3.3%,0.2%,4.4%,2.3%,0.2%,0.0%,3.4%,0.3%,0.2%,13.3%,0.3%,2.4%,6.7%,0.3%,0.0%,0.2%,4.1%,5.2%,3.8%,4.5%,3.8%,3.6%
2024-01-02 14:16:25,1.5%,1.3%,1.2%,4.0%,1.6%,1.4%,0.3%,0.2%,0.2%,0.2%,4.7%,2.3%,99.8%,0.0%,0.3%,0.3%,0.3%,0.4%,0.3%,6.0%,0.3%,0.2%,0.3%,4.6%,22.8%,0.2%,0.0%,0.2%,3.4%,6.2%,0.3%,0.3%,6.6%,0.3%,0.3%,0.2%,3.4%,0.3%,4.6%,2.4%,0.2%,0.0%,3.7%,0.3%,0.2%,19.3%,0.3%,2.5%,6.7%,0.3%,0.0%,0.2%,4.1%,5.1%,3.6%,4.6%,3.8%,3.3%
2024-01-02 14:16:30,1.5%,1.3%,1.2%,3.9%,1.5%,1.5%,0.3%,0.2%,0.3%,0.2%,3.7%,2.4%,99.9%,0.0%,0.3%,0.2%,0.3%,0.4%,0.3%,6.0%,0.3%,0.2%,0.3%,4.8%,21.6%,0.3%,0.0%,0.2%,3.3%,6.3%,0.3%,0.3%,6.4%,0.3%,0.3%,0.2%,3.5%,0.2%,4.6%,2.6%,0.2%,0.0%,3.7%,0.3%,0.2%,19.4%,0.3%,2.5%,5.1%,0.3%,0.0%,0.2%,4.7%,5.1%,3.9%,4.6%,3.8%,3.7%
2024-01-02 14:16:35,1.3%,1.3%,1.2%,3.9%,1.5%,1.5%,0.3%,0.2%,0.2%,0.2%,3.7%,2.4%,99.9%,0.0%,0.3%,0.3%,0.3%,0.4%,0.3%,6.1%,0.3%,0.2%,0.3%,8.7%,19.4%,0.3%,0.0%,0.3%,3.1%,6.3%,0.3%,0.3%,6.3%,0.3%,0.3%,0.2%,3.2%,0.2%,4.5%,2.6%,0.2%,0.0%,2.8%,0.3%,0.3%,21.1%,0.3%,2.5%,4.0%,0.3%,0.0%,0.3%,4.1%,4.6%,4.0%,4.6%,3.5%,3.4%
2024-01-02 14:16:40,1.5%,1.4%,1.3%,3.9%,1.5%,1.5%,0.2%,0.2%,0.2%,0.2%,4.0%,2.4%,99.8%,0.0%,0.3%,0.3%,0.3%,0.4%,0.3%,6.0%,0.3%,0.2%,0.3%,8.4%,17.6%,0.3%,0.0%,0.3%,3.1%,4.7%,0.3%,0.3%,4.8%,0.3%,0.3%,0.2%,2.8%,0.3%,4.7%,2.8%,0.2%,0.0%,2.5%,0.3%,0.2%,20.6%,0.3%,2.4%,3.9%,0.3%,0.0%,0.3%,4.7%,5.1%,4.2%,4.8%,3.9%,3.7%
2024-01-02 14:16:45,1.4%,1.3%,1.3%,3.9%,1.5%,1.5%,0.3%,0.2%,0.2%,0.2%,4.2%,2.4%,99.8%,0.0%,0.3%,0.3%,0.3%,0.4%,0.3%,6.1%,0.3%,0.2%,0.3%,8.3%,17.0%,0.3%,0.0%,0.3%,3.2%,4.8%,0.3%,0.3%,4.8%,0.3%,0.3%,0.2%,2.9%,0.2%,4.9%,2.9%,0.2%,0.0%,2.5%,0.3%,0.3%,21.1%,0.3%,2.5%,3.9%,0.3%,0.0%,0.3%,4.2%,4.3%,3.8%,4.6%,3.4%,3.5%
2024-01-02 14:16:50,1.5%,1.4%,1.3%,4.0%,1.5%,1.5%,0.2%,0.2%,0.2%,0.2%,4.3%,2.3%,99.9%,0.0%,0.3%,0.3%,0.3%,0.4%,0.3%,6.2%,0.3%,0.2%,0.3%,8.1%,21.3%,0.3%,0.0%,0.3%,3.2%,5.9%,0.3%,0.3%,4.9%,0.3%,0.3%,0.2%,2.8%,0.2%,5.1%,2.8%,0.2%,0.0%,2.5%,0.3%,0.3%,20.6%,0.3%,2.5%,4.2%,0.3%,0.0%,0.3%,4.5%,4.7%,4.0%,4.6%,3.8%,3.8%
2024-01-02 14:16:55,1.4%,1.4%,1.2%,4.0%,1.5%,1.5%,0.2%,0.2%,0.2%,0.2%,4.3%,2.5%,99.9%,0.0%,0.3%,0.2%,0.3%,0.4%,0.3%,7.1%,0.3%,0.2%,0.3%,8.2%,20.9%,0.3%,0.0%,0.3%,3.4%,5.4%,0.3%,0.2%,4.7%,0.3%,0.2%,0.2%,2.9%,0.2%,5.5%,2.9%,0.2%,0.0%,2.5%,0.3%,0.2%,21.5%,0.3%,2.5%,4.4%,0.3%,0.0%,0.3%,4.1%,4.5%,3.8%,4.3%,3.5%,3.5%
2024-01-02 14:17:00,1.4%,1.5%,1.3%,4.1%,1.5%,1.6%,0.3%,0.2%,0.2%,0.2%,5.3%,2.6%,99.8%,0.0%,0.3%,0.2%,0.3%,0.3%,0.3%,7.3%,0.3%,0.2%,0.3%,8.4%,20.9%,0.3%,0.0%,0.3%,3.3%,5.3%,0.3%,0.2%,4.7%,0.3%,0.2%,0.2%,3.0%,0.2%,5.2%,2.9%,0.2%,0.0%,2.8%,0.3%,0.2%,21.5%,0.3%,2.5%,5.0%,0.2%,0.0%,0.3%,4.1%,4.4%,4.1%,4.5%,3.8%,3.6%
2024-01-02 14:17:05,1.3%,1.4%,1.2%,4.1%,1.5%,1.6%,0.2%,0.2%,0.2%,0.2%,5.0%,2.8%,99.8%,0.0%,0.3%,0.2%,0.3%,0.4%,0.3%,7.3%,0.3%,0.2%,0.3%,8.8%,20.5%,0.3%,0.0%,0.3%,2.7%,5.4%,0.2%,0.2%,5.2%,0.3%,0.2%,0.2%,2.9%,0.2%,5.2%,2.9%,0.2%,0.0%,2.8%,0.2%,0.2%,20.7%,0.3%,2.5%,4.9%,0.2%,0.0%,0.3%,4.6%,4.5%,3.7%,4.5%,3.6%,3.3%
2024-01-02 14:17:10,1.4%,1.5%,1.3%,4.2%,1.5%,1.5%,0.2%,0.2%,0.2%,0.2%,5.0%,3.2%,99.9%,0.0%,0.2%,0.2%,0.3%,0.3%,0.3%,7.5%,0.3%,0.2%,0.3%,8.5%,18.1%,0.3%,0.0%,0.3%,2.5%,5.3%,0.2%,0.2%,5.0%,0.3%,0.2%,0.2%,2.7%,0.2%,5.2%,2.7%,0.2%,0.0%,2.9%,0.2%,0.2%,20.1%,0.3%,2.5%,5.0%,0.2%,0.0%,0.3%,4.9%,4.9%,4.0%,5.0%,3.9%,3.3%
2024-01-02 14:17:15,1.3%,1.4%,1.3%,4.1%,1.5%,1.5%,0.2%,0.2%,0.2%,0.2%,4.5%,3.6%,100.0%,0.0%,0.2%,0.2%,0.4%,0.3%,0.3%,7.3%,0.3%,0.2%,0.3%,8.8%,17.5%,0.3%,0.0%,0.3%,2.6%,5.6%,0.2%,0.2%,5.0%,0.3%,0.2%,0.2%,2.6%,0.2%,6.7%,2.7%,0.2%,0.0%,2.9%,0.3%,0.2%,20.1%,0.3%,2.5%,5.2%,0.2%,0.0%,0.3%,4.9%,4.4%,4.0%,4.7%,3.6%,3.6%
2024-01-02 14:17:20,1.5%,1.4%,1.2%,4.2%,1.5%,1.6%,0.2%,0.2%,0.2%,0.2%,5.4%,3.4%,99.9%,0.0%,0.3%,0.2%,0.3%,0.2%,0.3%,7.0%,0.2%,0.2%,0.3%,8.9%,20.2%,0.3%,0.0%,0.3%,2.5%,5.3%,0.2%,0.2%,4.8%,0.3%,0.2%,0.2%,2.6%,0.2%,6.4%,2.7%,0.3%,0.0%,2.6%,0.2%,0.2%,19.6%,0.3%,2.4%,5.0%,0.2%,0.0%,0.3%,4.9%,4.8%,4.3%,4.5%,4.0%,4.0%
2024-01-02 14:17:25,1.4%,1.4%,1.3%,4.2%,1.5%,1.5%,0.2%,0.2%,0.2%,0.2%,5.5%,3.4%,99.8%,0.0%,0.2%,0.2%,0.3%,0.2%,0.3%,7.3%,0.2%,0.2%,0.3%,8.7%,20.3%,0.2%,0.0%,0.3%,2.5%,5.2%,0.2%,0.2%,4.7%,0.3%,0.2%,0.2%,2.5%,0.2%,6.8%,3.0%,0.3%,0.0%,2.6%,0.2%,0.2%,18.7%,0.3%,2.4%,4.9%,0.2%,0.0%,0.3%,4.4%,4.4%,3.9%,4.6%,3.7%,3.7%
2024-01-02 14:17:30,1.5%,1.5%,1.3%,4.2%,1.5%,1.6%,0.2%,0.2%,0.2%,0.2%,5.5%,3.2%,99.8%,0.0%,0.2%,0.2%,0.3%,0.2%,0.3%,7.0%,0.2%,0.2%,0.2%,5.5%,20.2%,0.2%,0.0%,0.2%,2.5%,5.2%,0.2%,0.2%,5.0%,0.3%,0.2%,0.2%,2.4%,0.2%,6.6%,2.9%,0.2%,0.0%,2.4%,0.3%,0.2%,16.6%,0.3%,2.4%,5.1%,0.2%,0.0%,0.2%,4.7%,5.0%,4.1%,4.8%,3.8%,4.0%
2024-01-02 14:17:35,1.3%,1.3%,1.2%,4.1%,1.4%,1.5%,0.2%,0.2%,0.2%,0.2%,5.2%,3.3%,99.9%,0.0%,0.2%,0.2%,0.2%,0.2%,0.3%,6.9%,0.3%,0.2%,0.2%,5.3%,20.4%,0.2%,0.0%,0.3%,2.6%,5.1%,0.2%,0.2%,4.7%,0.3%,0.2%,0.2%,2.4%,0.2%,6.1%,2.7%,0.2%,0.0%,2.4%,0.3%,0.2%,16.2%,0.3%,2.4%,5.3%,0.2%,0.0%,0.2%,4.2%,4.6%,3.5%,4.5%,3.4%,3.6%
2024-01-02 14:17:40,1.3%,1.4%,1.2%,4.0%,1.4%,1.6%,0.2%,0.2%,0.2%,0.2%,5.4%,4.5%,100.0%,0.0%,0.2%,0.2%,0.3%,0.2%,0.3%,7.0%,0.3%,0.2%,0.2%,6.1%,20.0%,0.2%,0.0%,0.3%,2.6%,5.3%,0.2%,0.2%,5.2%,0.3%,0.2%,0.2%,2.3%,0.2%,6.4%,2.5%,0.2%,0.0%,3.4%,0.3%,0.2%,15.1%,0.3%,2.4%,5.4%,0.2%,0.0%,0.2%,4.6%,5.0%,3.9%,5.0%,3.9%,3.8%
2024-01-02 14:17:45,1.3%,1.3%,1.2%,4.0%,1.5%,1.5%,0.3%,0.2%,0.2%,0.2%,5.1%,4.6%,99.9%,0.0%,0.2%,0.2%,0.3%,0.2%,0.3%,6.6%,0.3%,0.2%,0.2%,7.2%,15.5%,0.2%,0.0%,0.3%,2.6%,5.6%,0.2%,0.2%,5.0%,0.3%,0.2%,0.2%,2.5%,0.2%,7.9%,2.5%,0.2%,0.0%,3.4%,0.3%,0.2%,15.2%,0.3%,2.4%,5.0%,0.2%,0.0%,0.2%,4.1%,4.5%,3.5%,4.7%,3.5%,3.6%
2024-01-02 14:17:50,1.4%,1.3%,1.3%,4.2%,1.5%,1.6%,0.2%,0.2%,0.2%,0.2%,5.1%,4.3%,100.0%,0.0%,0.2%,0.2%,0.3%,0.2%,0.3%,5.9%,0.3%,0.2%,0.2%,7.2%,15.3%,0.2%,0.0%,0.3%,2.9%,5.3%,0.2%,0.2%,5.2%,0.3%,0.2%,0.2%,2.4%,0.2%,7.4%,2.5%,0.2%,0.0%,3.4%,0.3%,0.2%,13.7%,0.3%,2.4%,4.6%,0.2%,0.0%,0.2%,4.6%,4.8%,3.8%,5.0%,3.5%,4.0%
2024-01-02 14:17:55,1.3%,1.3%,1.2%,4.0%,1.5%,1.5%,0.2%,0.2%,0.2%,0.2%,4.5%,4.2%,99.9%,0.0%,0.2%,0.2%,0.3%,0.2%,0.2%,5.6%,0.3%,0.2%,0.2%,6.9%,17.9%,0.2%,0.0%,0.3%,2.7%,5.3%,0.2%,0.2%,4.9%,0.3%,0.2%,0.2%,2.3%,0.2%,7.4%,2.5%,0.2%,0.0%,3.1%,0.3%,0.2%,13.5%,0.2%,2.4%,4.0%,0.2%,0.0%,0.2%,4.8%,4.8%,3.5%,5.0%,3.5%,3.7%
2024-01-02 14:18:00,1.4%,1.4%,1.3%,4.0%,1.5%,1.6%,0.2%,0.2%,0.2%,0.2%,4.8%,4.2%,99.9%,0.0%,0.2%,0.2%,0.3%,0.2%,0.2%,5.2%,0.2%,0.2%,0.2%,6.5%,18.1%,0.2%,0.0%,0.3%,2.6%,5.3%,0.2%,0.2%,4.3%,0.2%,0.2%,0.2%,2.2%,0.2%,7.2%,2.3%,0.2%,0.0%,3.1%,0.3%,0.2%,14.8%,0.2%,2.4%,4.0%,0.2%,0.0%,0.2%,4.7%,4.4%,3.9%,4.9%,3.4%,3.7%
2024-01-02 14:18:05,1.3%,1.3%,1.2%,4.0%,1.4%,1.6%,0.2%,0.2%,0.2%,0.2%,4.7%,3.6%,99.8%,0.0%,0.2%,0.2%,0.3%,0.2%,0.3%,5.0%,0.3%,0.2%,0.2%,6.7%,18.2%,0.2%,0.0%,0.3%,2.6%,5.2%,0.2%,0.2%,5.1%,0.2%,0.2%,0.2%,2.4%,0.2%,7.2%,2.5%,0.2%,0.0%,3.1%,0.3%,0.2%,17.0%,0.2%,2.4%,3.8%,0.2%,0.0%,0.2%,4.0%,4.5%,3.6%,4.5%,3.4%,4.2%
2024-01-02 14:18:10,1.4%,1.3%,1.3%,4.1%,1.5%,1.6%,0.2%,0.2%,0.2%,0.2%,4.7%,3.5%,99.8%,0.0%,0.2%,0.2%,0.2%,0.3%,0.2%,4.9%,0.3%,0.2%,0.2%,6.6%,18.1%,0.2%,0.0%,0.3%,2.6%,5.0%,0.2%,0.2%,4.6%,0.2%,0.2%,0.3%,2.4%,0.3%,5.6%,2.4%,0.2%,0.0%,3.3%,0.3%,0.2%,15.8%,0.2%,2.4%,3.6%,0.2%,0.0%,0.2%,4.5%,5.0%,4.0%,4.8%,3.7%,3.8%
2024-01-02 14:18:15,1.3%,1.3%,1.3%,4.0%,1.5%,1.5%,0.2%,0.2%,0.2%,0.2%,3.4%,3.6%,99.9%,0.0%,0.2%,0.2%,0.3%,0.3%,0.2%,4.8%,0.3%,0.2%,0.2%,6.9%,15.2%,0.2%,0.0%,0.3%,2.6%,4.8%,0.2%,0.2%,4.5%,0.2%,0.2%,0.2%,2.6%,0.3%,5.6%,2.3%,0.2%,0.0%,3.2%,0.3%,0.2%,10.3%,0.2%,2.3%,3.9%,0.2%,0.0%,0.2%,4.0%,4.7%,3.5%,4.8%,3.3%,3.7%
2024-01-02 14:18:20,1.3%,1.4%,1.3%,4.0%,1.5%,1.5%,0.2%,0.2%,0.2%,0.2%,3.3%,3.6%,99.9%,0.0%,0.2%,0.3%,0.3%,0.3%,0.2%,5.1%,0.3%,0.2%,0.2%,6.8%,15.1%,0.2%,0.0%,0.3%,2.6%,4.9%,0.2%,0.2%,4.7%,0.2%,0.2%,0.3%,2.7%,0.2%,5.3%,1.8%,0.2%,0.0%,3.2%,0.3%,0.2%,10.5%,0.2%,2.3%,3.9%,0.2%,0.0%,0.2%,4.5%,5.1%,3.5%,4.5%,3.8%,3.6%
2024-01-02 14:18:25,1.3%,1.3%,1.2%,4.0%,1.5%,1.5%,0.3%,0.2%,0.2%,0.2%,3.5%,3.6%,99.8%,0.0%,0.2%,0.3%,0.3%,0.3%,0.2%,5.1%,0.3%,0.2%,0.2%,5.8%,17.6%,0.2%,0.0%,0.3%,2.5%,4.8%,0.2%,0.2%,4.4%,0.2%,0.3%,0.2%,2.7%,0.3%,5.3%,1.8%,0.2%,0.0%,3.2%,0.2%,0.2%,10.1%,0.2%,2.3%,3.6%,0.2%,0.0%,0.2%,4.1%,4.6%,3.5%,4.6%,3.5%,3.6%
2024-01-02 14:18:30,1.4%,1.3%,1.3%,4.1%,1.6%,1.6%,0.3%,0.2%,0.2%,0.2%,3.5%,3.7%,99.9%,0.0%,0.2%,0.3%,0.3%,0.3%,0.2%,5.2%,0.3%,0.2%,0.2%,6.0%,17.8%,0.2%,0.0%,0.3%,2.3%,5.2%,0.2%,0.2%,4.2%,0.2%,0.3%,0.3%,2.7%,0.3%,5.6%,1.8%,0.2%,0.0%,3.3%,0.2%,0.2%,10.5%,0.2%,2.3%,3.8%,0.3%,0.0%,0.2%,4.6%,5.0%,3.6%,4.7%,3.9%,4.1%
2024-01-02 14:18:35,1.4%,1.3%,1.3%,4.2%,1.6%,1.5%,0.3%,0.2%,0.2%,0.2%,3.3%,2.3%,99.8%,0.0%,0.2%,0.4%,0.2%,0.3%,0.2%,5.1%,0.3%,0.3%,0.2%,5.2%,17.8%,0.2%,0.0%,0.2%,2.2%,5.2%,0.2%,0.3%,3.8%,0.2%,0.3%,0.3%,2.8%,0.3%,4.9%,1.9%,0.2%,0.0%,2.4%,0.2%,0.2%,10.4%,0.2%,2.4%,3.6%,0.2%,0.0%,0.2%,4.3%,4.7%,3.5%,4.4%,3.5%,3.7%
