"Time","ts-station-food-service-bbffbd779-qbpwz","ts-auth-service-5cd94cf4c9-pr4sc","ts-consign-service-69fdbff744-t4nnm","ts-execute-service-667756b4bf-vrl4r","ts-travel-plan-service-57865655f6-vklhv","ts-basic-service-c57455994-5rf52","ts-food-delivery-service-85c449576c-7jtrf","ts-train-service-c7fc88877-mm8n9","ts-config-service-55f74d8b79-mt2ln","tsdb-mysql-2","ts-assurance-service-569ffd759f-nzddv","tsdb-mysql-2","tsdb-mysql-0","ts-admin-route-service-5d486755c-mxt4j","tsdb-mysql-1","ts-order-other-service-6666b4d4d-x6l64","ts-ui-dashboard-7b5d44c888-gqlfj","ts-delivery-service-857d89f589-nrpbf","nacosdb-mysql-0","ts-avatar-service-ff8977c96-z6h7t","ts-travel-service-699599cdf5-mffdb","ts-seat-service-54f7bb8465-rzgwd","nacosdb-mysql-2","ts-admin-travel-service-7d4d447494-lz7vv","ts-wait-order-service-6f7f78bb5d-8f78g","ts-verification-code-service-58d4c7b777-p96jk","tsdb-mysql-0","ts-rebook-service-79586f4dbc-lh6w9","ts-consign-price-service-764c676495-rblv4","ts-preserve-service-56dfc8d6d-vnlpb","ts-route-plan-service-6594877d59-qrh8f","nacosdb-mysql-1","ts-user-service-77988d68d8-kp6gg","ts-route-service-6f5855dc47-7ht8z","ts-station-service-798774f5d-dpsf5","nacosdb-mysql-1","ts-gateway-service-8585c745cd-mn5vn","ts-food-service-85b5445f7-69dvs","ts-notification-service-66777dd945-g9l6f","ts-preserve-other-service-5b9bbf9cf-hjzpg","ts-order-service-69885cc6c8-4mcjr","ts-admin-basic-info-service-d8d4b4ff9-s7zth","ts-voucher-service-7545b4fb7c-v46q2","ts-cancel-service-55b6778574-7zfnb","nacosdb-mysql-2","ts-admin-user-service-c544d7b74-xj8pn","ts-price-service-55c8646c4c-hjw4b","ts-ticket-office-service-9979b76f9-ztj64","ts-news-service-7665fdf4c-hlrml","ts-admin-order-service-787856598f-fl56n","tsdb-mysql-1","nacosdb-mysql-0","ts-train-food-service-f544897f-jd76n","ts-inside-payment-service-7f87878d9f-mqp8l","ts-travel2-service-5db558f8d9-4tk7g","ts-payment-service-7fc4c49d89-7zrgj","ts-contacts-service-69864b9cd7-j7kng","ts-security-service-7fd5f9ff9c-k4nxj"
2024-01-02 14:12:50,0 s,2.7 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,126.4 ms,5.3 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,233.2 ms,0 s,0 s,0 s,0 s,0 s,5.8 ms,0 s,0 s,0 s,0 s,0 s,600.7 ms,0 s,0 s,25.7 ms,1.7 s,468.0 ms,0 s,0 s,0 s,0 s,0 s,0 s,11.6 ms,460.4 ms,0 s,0 s,0 s,0 s,15.4 ms,18.1 ms,97.8 ms,0 s,0 s,0 s,0 s,0 s
2024-01-02 14:12:55,0 s,2.7 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,124.9 ms,4.3 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,489.2 ms,0 s,0 s,0 s,0 s,0 s,5.8 ms,0 s,0 s,0 s,0 s,0 s,604.1 ms,0 s,0 s,24.0 ms,1.4 s,494.2 ms,0 s,0 s,0 s,0 s,0 s,0 s,9.3 ms,462.7 ms,0 s,0 s,0 s,0 s,12.6 ms,15.3 ms,171.2 ms,0 s,0 s,0 s,0 s,0 s
2024-01-02 14:13:00,26.8 ms,2.6 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,126.9 ms,4.3 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,629.8 ms,0 s,0 s,0 s,0 s,0 s,6.0 ms,0 s,0 s,0 s,0 s,0 s,599.2 ms,280.2 ms,0 s,25.5 ms,1.1 s,532.8 ms,0 s,0 s,0 s,0 s,0 s,0 s,9.6 ms,464.8 ms,0 s,0 s,0 s,0 s,12.7 ms,12.4 ms,172.5 ms,0 s,0 s,0 s,0 s,0 s
2024-01-02 14:13:05,113.5 ms,2.0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,123.6 ms,2.5 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,539.0 ms,0 s,0 s,0 s,0 s,0 s,5.2 ms,0 s,0 s,0 s,0 s,0 s,616.9 ms,284.1 ms,0 s,20.5 ms,1.1 s,569.9 ms,0 s,0 s,0 s,0 s,0 s,0 s,6.1 ms,472.2 ms,0 s,0 s,0 s,0 s,12.5 ms,11.6 ms,171.5 ms,0 s,0 s,0 s,148.9 ms,0 s
2024-01-02 14:13:10,113.9 ms,1.4 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,125.0 ms,2.5 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,507.5 ms,0 s,0 s,0 s,0 s,0 s,5.4 ms,0 s,0 s,31.4 ms,0 s,0 s,597.9 ms,283.4 ms,0 s,21.8 ms,1.1 s,581.5 ms,0 s,0 s,0 s,0 s,0 s,0 s,6.4 ms,476.6 ms,0 s,0 s,0 s,0 s,12.6 ms,12.8 ms,174.0 ms,0 s,0 s,0 s,583.4 ms,0 s
2024-01-02 14:13:15,117.7 ms,1.2 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,123.1 ms,2.6 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,519.0 ms,0 s,0 s,0 s,0 s,0 s,3.9 ms,0 s,0 s,385.6 ms,0 s,0 s,605.7 ms,285.4 ms,0 s,14.2 ms,930.5 ms,570.6 ms,0 s,0 s,0 s,0 s,0 s,0 s,4.5 ms,265.4 ms,0 s,0 s,0 s,0 s,11.3 ms,12.1 ms,171.7 ms,0 s,0 s,0 s,582.9 ms,0 s
2024-01-02 14:13:20,112.4 ms,1.2 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,123.4 ms,3.6 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,519.5 ms,0 s,0 s,0 s,0 s,0 s,3.8 ms,0 s,0 s,491.6 ms,0 s,0 s,593.6 ms,280.4 ms,0 s,14.2 ms,905.6 ms,573.5 ms,0 s,0 s,0 s,0 s,0 s,0 s,4.6 ms,51.5 ms,0 s,0 s,0 s,0 s,11.4 ms,12.2 ms,169.8 ms,0 s,0 s,0 s,590.9 ms,150.3 ms
2024-01-02 14:13:25,113.1 ms,1.2 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,126.9 ms,3.6 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,509.7 ms,0 s,0 s,0 s,0 s,0 s,3.7 ms,0 s,0 s,486.3 ms,0 s,0 s,196.3 ms,276.6 ms,0 s,11.0 ms,916.4 ms,574.5 ms,0 s,0 s,133.6 ms,0 s,0 s,0 s,3.9 ms,19.0 ms,0 s,0 s,0 s,0 s,11.3 ms,13.1 ms,172.6 ms,0 s,0 s,0 s,585.4 ms,356.3 ms
2024-01-02 14:13:30,116.5 ms,831.9 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,123.9 ms,5.6 ms,0 s,0 s,0 s,240.8 ms,0 s,0 s,0 s,0 s,546.6 ms,0 s,0 s,0 s,0 s,0 s,3.8 ms,0 s,0 s,598.8 ms,0 s,0 s,8.2 ms,283.1 ms,0 s,11.2 ms,881.2 ms,577.6 ms,0 s,0 s,155.3 ms,0 s,0 s,0 s,8.8 ms,0 s,0 s,0 s,0 s,0 s,12.2 ms,8.4 ms,166.8 ms,0 s,0 s,0 s,635.9 ms,462.6 ms
2024-01-02 14:13:35,116.2 ms,405.9 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,9.7 ms,5.6 ms,0 s,0 s,0 s,241.8 ms,0 s,0 s,0 s,0 s,574.8 ms,0 s,0 s,0 s,0 s,0 s,2.6 ms,0 s,0 s,622.0 ms,0 s,0 s,0 s,280.6 ms,0 s,9.9 ms,747.9 ms,575.4 ms,0 s,0 s,266.6 ms,0 s,0 s,0 s,8.0 ms,0 s,0 s,0 s,0 s,0 s,10.8 ms,10.1 ms,171.5 ms,0 s,0 s,0 s,638.3 ms,459.9 ms
2024-01-02 14:13:40,114.4 ms,817.4 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,6.5 ms,0 s,0 s,0 s,240.6 ms,0 s,0 s,0 s,0 s,642.2 ms,0 s,0 s,0 s,0 s,0 s,3.3 ms,0 s,0 s,613.0 ms,0 s,0 s,1.8 ms,278.8 ms,0 s,9.9 ms,468.9 ms,382.3 ms,0 s,0 s,263.2 ms,0 s,0 s,0 s,8.0 ms,549.2 µs,0 s,0 s,0 s,0 s,10.8 ms,10.1 ms,169.3 ms,0 s,0 s,0 s,626.9 ms,467.1 ms
2024-01-02 14:13:45,115.9 ms,1.5 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,5.6 ms,0 s,0 s,0 s,239.5 ms,0 s,0 s,0 s,0 s,704.3 ms,0 s,0 s,0 s,0 s,0 s,2.2 ms,0 s,0 s,617.2 ms,0 s,0 s,3.6 ms,286.7 ms,0 s,7.3 ms,442.7 ms,95.3 ms,0 s,0 s,264.7 ms,0 s,0 s,0 s,7.8 ms,1.8 ms,0 s,0 s,0 s,0 s,5.0 ms,7.0 ms,73.8 ms,0 s,0 s,0 s,644.8 ms,464.7 ms
2024-01-02 14:13:50,114.3 ms,2.2 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,364.7 µs,13.1 ms,0 s,0 s,0 s,242.8 ms,0 s,0 s,0 s,0 s,457.3 ms,0 s,0 s,0 s,0 s,0 s,5.7 ms,0 s,0 s,619.1 ms,0 s,0 s,11.5 ms,286.6 ms,0 s,7.3 ms,440.4 ms,88.4 ms,0 s,0 s,264.2 ms,0 s,0 s,0 s,7.9 ms,1.8 ms,0 s,0 s,0 s,0 s,5.2 ms,7.2 ms,437.6 µs,0 s,0 s,0 s,659.2 ms,472.1 ms
2024-01-02 14:13:55,87.6 ms,2.9 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,3.5 ms,12.9 ms,0 s,0 s,0 s,239.8 ms,0 s,0 s,0 s,0 s,243.2 ms,0 s,0 s,0 s,0 s,0 s,4.3 ms,0 s,0 s,618.8 ms,0 s,0 s,11.9 ms,1.9 ms,0 s,6.4 ms,461.2 ms,34.9 ms,0 s,0 s,264.7 ms,0 s,0 s,0 s,7.5 ms,1.7 ms,0 s,0 s,0 s,0 s,5.2 ms,6.2 ms,431.1 µs,0 s,0 s,0 s,652.8 ms,466.5 ms
2024-01-02 14:14:00,1.5 ms,3.6 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,3.5 ms,11.7 ms,0 s,0 s,0 s,242.9 ms,0 s,0 s,0 s,0 s,217.7 ms,0 s,0 s,0 s,0 s,0 s,5.4 ms,0 s,0 s,621.5 ms,0 s,0 s,11.6 ms,0 s,0 s,9.7 ms,360.1 ms,0 s,0 s,0 s,259.4 ms,0 s,0 s,0 s,7.6 ms,1.7 ms,0 s,0 s,0 s,0 s,5.1 ms,7.0 ms,421.6 µs,0 s,0 s,0 s,508.3 ms,468.9 ms
2024-01-02 14:14:05,1.5 ms,4.1 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,3.5 ms,12.5 ms,0 s,0 s,0 s,238.5 ms,0 s,0 s,0 s,0 s,262.4 ms,0 s,0 s,0 s,0 s,0 s,5.3 ms,0 s,0 s,606.9 ms,0 s,0 s,11.4 ms,1.8 ms,0 s,8.3 ms,260.4 ms,0 s,0 s,0 s,271.0 ms,0 s,0 s,0 s,13.5 ms,1.7 ms,0 s,0 s,0 s,0 s,6.8 ms,5.6 ms,424.9 µs,0 s,0 s,0 s,94.4 ms,495.1 ms
2024-01-02 14:14:10,1.5 ms,4.7 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,3.6 ms,12.5 ms,0 s,0 s,0 s,243.9 ms,0 s,0 s,0 s,0 s,273.1 ms,0 s,0 s,0 s,0 s,0 s,5.3 ms,0 s,0 s,248.0 ms,0 s,0 s,11.7 ms,1.8 ms,0 s,9.9 ms,243.2 ms,0 s,0 s,0 s,264.4 ms,0 s,0 s,0 s,13.6 ms,1.7 ms,0 s,0 s,0 s,0 s,6.7 ms,6.2 ms,430.3 µs,0 s,0 s,0 s,96.1 ms,493.1 ms
2024-01-02 14:14:15,1.5 ms,5.4 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,3.6 ms,11.9 ms,0 s,0 s,0 s,236.4 ms,0 s,0 s,0 s,0 s,275.7 ms,0 s,0 s,0 s,0 s,0 s,5.3 ms,0 s,0 s,159.1 ms,0 s,0 s,28.3 ms,1.8 ms,0 s,9.6 ms,215.1 ms,0 s,0 s,0 s,277.0 ms,0 s,0 s,0 s,15.6 ms,2.5 ms,0 s,0 s,0 s,0 s,7.0 ms,6.1 ms,624.9 µs,0 s,0 s,0 s,97.1 ms,350.8 ms
2024-01-02 14:14:20,1.5 ms,6.2 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,4.2 ms,12.0 ms,0 s,0 s,0 s,244.6 ms,0 s,0 s,0 s,0 s,281.4 ms,0 s,0 s,0 s,0 s,0 s,5.4 ms,0 s,0 s,159.6 ms,0 s,0 s,27.8 ms,2.1 ms,0 s,11.6 ms,205.3 ms,11.5 ms,0 s,0 s,144.6 ms,0 s,0 s,0 s,15.3 ms,2.6 ms,0 s,0 s,0 s,0 s,7.8 ms,5.2 ms,1.3 ms,0 s,0 s,0 s,99.1 ms,149.9 ms
2024-01-02 14:14:25,1.5 ms,6.8 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,4.8 ms,10.0 ms,0 s,0 s,0 s,1.0 ms,0 s,0 s,0 s,0 s,247.5 ms,0 s,0 s,0 s,0 s,0 s,5.4 ms,0 s,0 s,47.1 ms,0 s,0 s,27.6 ms,2.1 ms,0 s,11.5 ms,217.4 ms,17.0 ms,0 s,0 s,123.7 ms,0 s,0 s,0 s,12.1 ms,2.6 ms,0 s,0 s,0 s,0 s,4.4 ms,5.3 ms,1.3 ms,0 s,0 s,0 s,56.3 ms,45.5 ms
2024-01-02 14:14:30,1.5 ms,7.2 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,4.8 ms,9.9 ms,0 s,0 s,0 s,1.3 ms,0 s,0 s,0 s,0 s,235.5 ms,0 s,0 s,0 s,0 s,0 s,6.3 ms,0 s,0 s,21.2 ms,0 s,0 s,28.2 ms,3.4 ms,0 s,9.4 ms,287.6 ms,17.5 ms,0 s,0 s,15.7 ms,0 s,0 s,0 s,12.1 ms,3.3 ms,0 s,0 s,0 s,0 s,4.4 ms,2.4 ms,1.3 ms,0 s,0 s,0 s,55.7 ms,45.9 ms
2024-01-02 14:14:35,1.5 ms,7.1 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,4.8 ms,9.8 ms,0 s,0 s,0 s,1.4 ms,0 s,0 s,0 s,0 s,188.8 ms,0 s,0 s,0 s,0 s,0 s,5.7 ms,0 s,0 s,25.2 ms,0 s,0 s,26.2 ms,3.4 ms,0 s,9.8 ms,264.6 ms,17.5 ms,0 s,0 s,16.5 ms,0 s,0 s,0 s,12.7 ms,3.8 ms,0 s,0 s,0 s,0 s,5.5 ms,2.4 ms,1.3 ms,0 s,0 s,0 s,57.9 ms,89.3 ms
2024-01-02 14:14:40,0 s,7.0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,4.8 ms,12.0 ms,0 s,0 s,0 s,1.3 ms,0 s,0 s,0 s,0 s,135.4 ms,0 s,0 s,0 s,0 s,0 s,5.7 ms,0 s,0 s,56.7 ms,0 s,0 s,24.5 ms,3.3 ms,0 s,9.8 ms,265.5 ms,17.3 ms,0 s,0 s,16.2 ms,0 s,0 s,0 s,13.0 ms,2.6 ms,0 s,0 s,0 s,0 s,6.7 ms,2.5 ms,1.3 ms,0 s,0 s,0 s,55.6 ms,135.5 ms
2024-01-02 14:14:45,4.1 ms,6.8 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,25.2 ms,4.6 ms,0 s,0 s,0 s,1.3 ms,0 s,0 s,0 s,0 s,121.9 ms,0 s,0 s,0 s,0 s,0 s,2.8 ms,0 s,0 s,56.5 ms,0 s,0 s,16.4 ms,3.3 ms,0 s,9.7 ms,263.3 ms,17.4 ms,0 s,0 s,15.2 ms,0 s,0 s,0 s,12.9 ms,16.1 ms,0 s,0 s,0 s,0 s,6.5 ms,3.3 ms,829.3 µs,0 s,0 s,0 s,34.7 ms,141.3 ms
2024-01-02 14:14:50,4.1 ms,6.6 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,66.9 ms,5.0 ms,0 s,0 s,0 s,1.3 ms,0 s,0 s,0 s,0 s,119.4 ms,0 s,0 s,0 s,0 s,0 s,2.9 ms,0 s,0 s,55.9 ms,0 s,0 s,16.4 ms,3.4 ms,0 s,9.3 ms,263.2 ms,30.1 ms,0 s,0 s,16.6 ms,0 s,0 s,0 s,16.7 ms,16.2 ms,0 s,0 s,0 s,0 s,6.6 ms,5.0 ms,847.2 µs,0 s,0 s,0 s,37.8 ms,143.1 ms
2024-01-02 14:14:55,4.0 ms,6.2 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,70.1 ms,4.9 ms,0 s,0 s,0 s,1.3 ms,0 s,0 s,0 s,0 s,133.8 ms,0 s,0 s,0 s,0 s,0 s,1.8 ms,0 s,0 s,53.3 ms,0 s,0 s,18.4 ms,3.6 ms,0 s,5.9 ms,262.1 ms,30.5 ms,0 s,0 s,15.9 ms,0 s,0 s,0 s,16.2 ms,19.9 ms,0 s,0 s,0 s,0 s,6.3 ms,4.2 ms,857.9 µs,0 s,0 s,0 s,85.0 ms,137.3 ms
2024-01-02 14:15:00,4.0 ms,6.0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,70.1 ms,4.0 ms,0 s,0 s,0 s,1.3 ms,0 s,0 s,0 s,0 s,140.9 ms,0 s,0 s,0 s,0 s,0 s,1.7 ms,0 s,0 s,48.1 ms,0 s,0 s,19.6 ms,1.8 ms,0 s,5.8 ms,254.0 ms,33.3 ms,0 s,0 s,17.0 ms,0 s,0 s,0 s,11.3 ms,19.1 ms,0 s,0 s,0 s,0 s,5.6 ms,8.9 ms,1.1 ms,0 s,0 s,0 s,68.1 ms,118.6 ms
2024-01-02 14:15:05,4.1 ms,5.7 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,71.3 ms,4.0 ms,0 s,0 s,0 s,1.3 ms,0 s,0 s,0 s,0 s,194.9 ms,0 s,0 s,0 s,0 s,0 s,1.8 ms,0 s,0 s,52.1 ms,0 s,0 s,19.3 ms,1.8 ms,0 s,9.1 ms,194.8 ms,32.7 ms,0 s,0 s,14.5 ms,0 s,0 s,0 s,11.6 ms,19.5 ms,0 s,0 s,0 s,0 s,5.7 ms,8.4 ms,1.1 ms,0 s,0 s,0 s,65.6 ms,122.1 ms
2024-01-02 14:15:10,4.1 ms,5.4 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,74.2 ms,3.8 ms,0 s,0 s,0 s,570.6 µs,0 s,0 s,0 s,0 s,191.6 ms,0 s,0 s,0 s,0 s,0 s,2.1 ms,0 s,0 s,56.7 ms,0 s,0 s,3.1 ms,2.1 ms,0 s,9.2 ms,186.8 ms,33.7 ms,0 s,0 s,6.5 ms,0 s,0 s,0 s,9.9 ms,18.7 ms,0 s,0 s,0 s,0 s,5.4 ms,9.1 ms,910.5 µs,0 s,0 s,0 s,63.8 ms,113.7 ms
